domain,mode,acc_mean,acc_std,hall_mean,cons_mean,note_len_mean
linear_regression,no_note,0.8000000000000002,0.0,0.8000000000000002,0.0,0.0
linear_regression,note,0.8000000000000002,0.0,0.8000000000000002,0.8000000000000002,925.0
linear_regression,note+revise,0.8000000000000002,0.0,0.8000000000000002,0.8000000000000002,255.0
math,no_note,0.8000000000000002,0.0,1.0,0.0,0.0
math,note,0.8000000000000002,0.0,1.0,0.4000000000000001,964.0
math,note+revise,0.8000000000000002,0.0,1.0,0.4000000000000001,192.0
qa,no_note,1.0,0.0,1.0,0.0,0.0
qa,note,1.0,0.0,1.0,0.8000000000000002,1089.0
qa,note+revise,1.0,0.0,1.0,0.8000000000000002,261.0
sentiment,no_note,0.8000000000000002,0.0,1.0,0.0,0.0
sentiment,note,0.8000000000000002,0.0,1.0,1.0,1249.0
sentiment,note+revise,0.8000000000000002,0.0,1.0,1.0,249.0
