seed,domain,mode,acc,abstain_rate,halluc_rate,cons,learn,learnN,note_len_raw,note_len_final,note_selfc,rel_note_len,comp_gain,note_ansb
42,linear_regression,direct,1.0,0.0,0.0,1.0,2.0,1.0,0,0,0.0,0.0,0.0,0.0
42,linear_regression,rag,1.0,0.0,0.0,1.0,2.0,1.0,0,0,0.0,0.0,0.0,0.0
42,linear_regression,student_note,1.0,0.0,0.0,1.0,2.0,1.0,648,648,0.0,1.8892128279883382,0.529320987654321,1.0
123,linear_regression,direct,1.0,0.0,0.0,1.0,2.0,1.0,0,0,0.0,0.0,0.0,0.0
123,linear_regression,rag,1.0,0.0,0.0,1.0,2.0,1.0,0,0,0.0,0.0,0.0,0.0
123,linear_regression,student_note,1.0,0.0,0.0,1.0,2.0,1.0,648,648,0.0,1.8892128279883382,0.529320987654321,1.0
2025,linear_regression,direct,1.0,0.0,0.0,1.0,2.0,1.0,0,0,0.0,0.0,0.0,0.0
2025,linear_regression,rag,1.0,0.0,0.0,1.0,2.0,1.0,0,0,0.0,0.0,0.0,0.0
2025,linear_regression,student_note,1.0,0.0,0.0,1.0,2.0,1.0,648,648,0.0,1.8892128279883382,0.529320987654321,1.0
42,sentiment,direct,1.0,0.0,0.0,1.0,2.0,1.0,0,0,0.0,0.0,0.0,0.0
42,sentiment,rag,1.0,0.0,0.0,1.0,2.0,1.0,0,0,0.0,0.0,0.0,0.0
42,sentiment,student_note,1.0,0.0,0.0,1.0,2.0,1.0,544,544,0.0,2.365217391304348,0.4227941176470588,1.0
123,sentiment,direct,1.0,0.0,0.0,1.0,2.0,1.0,0,0,0.0,0.0,0.0,0.0
123,sentiment,rag,1.0,0.0,0.0,1.0,2.0,1.0,0,0,0.0,0.0,0.0,0.0
123,sentiment,student_note,1.0,0.0,0.0,1.0,2.0,1.0,544,544,0.0,2.365217391304348,0.4227941176470588,1.0
2025,sentiment,direct,1.0,0.0,0.0,1.0,2.0,1.0,0,0,0.0,0.0,0.0,0.0
2025,sentiment,rag,1.0,0.0,0.0,1.0,2.0,1.0,0,0,0.0,0.0,0.0,0.0
2025,sentiment,student_note,1.0,0.0,0.0,1.0,2.0,1.0,544,544,0.0,2.365217391304348,0.4227941176470588,1.0
42,qa,direct,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0,0,0.0,0.0,0.0,0.0
42,qa,rag,1.0,0.0,0.0,0.8,1.8,0.9333333333333332,0,0,0.0,0.0,0.0,0.0
42,qa,student_note,1.0,0.0,0.0,0.8,1.8,0.9333333333333332,544,544,0.0,3.7777777777777777,0.2647058823529412,1.0
123,qa,direct,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0,0,0.0,0.0,0.0,0.0
123,qa,rag,1.0,0.0,0.0,0.8,1.8,0.9333333333333332,0,0,0.0,0.0,0.0,0.0
123,qa,student_note,1.0,0.0,0.0,0.8,1.8,0.9333333333333332,544,544,0.0,3.7777777777777777,0.2647058823529412,1.0
2025,qa,direct,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0,0,0.0,0.0,0.0,0.0
2025,qa,rag,1.0,0.0,0.0,0.8,1.8,0.9333333333333332,0,0,0.0,0.0,0.0,0.0
2025,qa,student_note,1.0,0.0,0.0,0.8,1.8,0.9333333333333332,544,544,0.0,3.7777777777777777,0.2647058823529412,1.0
42,math,direct,0.8,0.0,0.2,0.4,1.0000000000000002,0.6666666666666666,0,0,0.0,0.0,0.0,0.0
42,math,rag,0.8,0.0,0.2,0.4,1.0000000000000002,0.6666666666666666,0,0,0.0,0.0,0.0,0.0
42,math,student_note,0.8,0.0,0.2,0.4,1.0000000000000002,0.6666666666666666,544,544,0.7477995390275214,3.7777777777777777,0.2647058823529412,1.0
123,math,direct,0.8,0.0,0.2,0.4,1.0000000000000002,0.6666666666666666,0,0,0.0,0.0,0.0,0.0
123,math,rag,0.8,0.0,0.2,0.4,1.0000000000000002,0.6666666666666666,0,0,0.0,0.0,0.0,0.0
123,math,student_note,0.8,0.0,0.2,0.4,1.0000000000000002,0.6666666666666666,544,544,0.7477995390275214,3.7777777777777777,0.2647058823529412,1.0
2025,math,direct,0.8,0.0,0.2,0.4,1.0000000000000002,0.6666666666666666,0,0,0.0,0.0,0.0,0.0
2025,math,rag,0.8,0.0,0.2,0.4,1.0000000000000002,0.6666666666666666,0,0,0.0,0.0,0.0,0.0
2025,math,student_note,0.8,0.0,0.2,0.4,1.0000000000000002,0.6666666666666666,544,544,0.7477995390275214,3.7777777777777777,0.2647058823529412,1.0
