seed,domain,ablation_mode,acc_mean,abst_mean,hall_mean,cons_mean,learn_mean,learnN_mean,note_len_mean,explainQ_mean
42,linear_regression,full,0.8,0.2,0.0,0.8000000000000002,1.6,0.8666666666666666,601.0,1.0
42,linear_regression,no_child,0.6,0.2,0.2,0.6000000000000002,1.0,0.6666666666666667,508.0,0.0
42,linear_regression,no_steps,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,336.0,0.0
42,linear_regression,no_mistake,0.8,0.0,0.2,0.8000000000000002,1.4,0.8,587.0,1.0
42,linear_regression,no_revision,0.6,0.4,0.0,0.6000000000000002,1.2,0.7333333333333333,646.0,0.0
42,linear_regression,no_memory,0.8,0.2,0.0,0.8000000000000002,1.6,0.8666666666666666,601.0,1.0
123,linear_regression,full,0.8,0.2,0.0,0.8000000000000002,1.6,0.8666666666666666,601.0,1.0
123,linear_regression,no_child,0.6,0.2,0.2,0.6000000000000002,1.0,0.6666666666666667,508.0,0.0
123,linear_regression,no_steps,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,336.0,0.0
123,linear_regression,no_mistake,0.8,0.0,0.2,0.8000000000000002,1.4,0.8,587.0,1.0
123,linear_regression,no_revision,0.6,0.4,0.0,0.6000000000000002,1.2,0.7333333333333333,646.0,0.0
123,linear_regression,no_memory,0.8,0.2,0.0,0.8000000000000002,1.6,0.8666666666666666,601.0,1.0
2025,linear_regression,full,0.8,0.2,0.0,0.8000000000000002,1.6,0.8666666666666666,601.0,1.0
2025,linear_regression,no_child,0.6,0.2,0.2,0.6000000000000002,1.0,0.6666666666666667,508.0,0.0
2025,linear_regression,no_steps,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,336.0,0.0
2025,linear_regression,no_mistake,0.8,0.0,0.2,0.8000000000000002,1.4,0.8,587.0,1.0
2025,linear_regression,no_revision,0.6,0.4,0.0,0.6000000000000002,1.2,0.7333333333333333,646.0,0.0
2025,linear_regression,no_memory,0.8,0.2,0.0,0.8000000000000002,1.6,0.8666666666666666,601.0,1.0
42,math,full,0.8,0.0,0.2,0.6,1.2,0.7333333333333333,538.0,1.0
42,math,no_child,0.6,0.0,0.4,0.4,0.6,0.5333333333333333,445.0,0.0
42,math,no_steps,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,273.0,0.0
42,math,no_mistake,0.8,0.0,0.2,0.6,1.2,0.7333333333333333,524.0,1.0
42,math,no_revision,0.6,0.2,0.2,0.4,0.8,0.5999999999999999,583.0,0.0
42,math,no_memory,0.8,0.0,0.2,0.6,1.2,0.7333333333333333,538.0,1.0
123,math,full,0.8,0.0,0.2,0.6,1.2,0.7333333333333333,538.0,1.0
123,math,no_child,0.6,0.0,0.4,0.4,0.6,0.5333333333333333,445.0,0.0
123,math,no_steps,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,273.0,0.0
123,math,no_mistake,0.8,0.0,0.2,0.6,1.2,0.7333333333333333,524.0,1.0
123,math,no_revision,0.6,0.2,0.2,0.4,0.8,0.5999999999999999,583.0,0.0
123,math,no_memory,0.8,0.0,0.2,0.6,1.2,0.7333333333333333,538.0,1.0
2025,math,full,0.8,0.0,0.2,0.6,1.2,0.7333333333333333,538.0,1.0
2025,math,no_child,0.6,0.0,0.4,0.4,0.6,0.5333333333333333,445.0,0.0
2025,math,no_steps,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,273.0,0.0
2025,math,no_mistake,0.8,0.0,0.2,0.6,1.2,0.7333333333333333,524.0,1.0
2025,math,no_revision,0.6,0.2,0.2,0.4,0.8,0.5999999999999999,583.0,0.0
2025,math,no_memory,0.8,0.0,0.2,0.6,1.2,0.7333333333333333,538.0,1.0
42,qa,full,1.0,0.4,0.0,0.8,1.8,0.9333333333333332,538.0,1.0
42,qa,no_child,0.8,0.4,0.2,0.6,1.2,0.7333333333333333,445.0,0.0
42,qa,no_steps,0.4,1.0,0.0,1.0000000000000002,1.4000000000000001,0.8,273.0,0.0
42,qa,no_mistake,0.6,0.0,0.4,0.4,0.6,0.5333333333333333,524.0,1.0
42,qa,no_revision,0.6,0.8,0.0,0.6000000000000002,1.2,0.7333333333333333,583.0,0.0
42,qa,no_memory,1.0,0.4,0.0,0.8,1.8,0.9333333333333332,538.0,1.0
123,qa,full,1.0,0.4,0.0,0.8,1.8,0.9333333333333332,538.0,1.0
123,qa,no_child,0.8,0.4,0.2,0.6,1.2,0.7333333333333333,445.0,0.0
123,qa,no_steps,0.4,1.0,0.0,1.0000000000000002,1.4000000000000001,0.8,273.0,0.0
123,qa,no_mistake,0.6,0.0,0.4,0.4,0.6,0.5333333333333333,524.0,1.0
123,qa,no_revision,0.6,0.8,0.0,0.6000000000000002,1.2,0.7333333333333333,583.0,0.0
123,qa,no_memory,1.0,0.4,0.0,0.8,1.8,0.9333333333333332,538.0,1.0
2025,qa,full,1.0,0.4,0.0,0.8,1.8,0.9333333333333332,538.0,1.0
2025,qa,no_child,0.8,0.4,0.2,0.6,1.2,0.7333333333333333,445.0,0.0
2025,qa,no_steps,0.4,1.0,0.0,1.0000000000000002,1.4000000000000001,0.8,273.0,0.0
2025,qa,no_mistake,0.6,0.0,0.4,0.4,0.6,0.5333333333333333,524.0,1.0
2025,qa,no_revision,0.6,0.8,0.0,0.6000000000000002,1.2,0.7333333333333333,583.0,0.0
2025,qa,no_memory,1.0,0.4,0.0,0.8,1.8,0.9333333333333332,538.0,1.0
